Id,Name,Type,TcgDate,OcgDate,Artwork
295517,A Legendary Ocean,Spell Card,06/06/2003,11/29/2001,https://images.ygoprodeck.com/images/cards_cropped/295517.jpg
296499,The Regulation of Tribe,Trap Card,10/20/2002,09/28/2000,https://images.ygoprodeck.com/images/cards_cropped/296499.jpg
303660,Amplifier,Spell Card,06/01/2004,11/20/2003,https://images.ygoprodeck.com/images/cards_cropped/303660.jpg
313513,Spell Gear,Spell Card,05/03/2008,02/23/2008,https://images.ygoprodeck.com/images/cards_cropped/313513.jpg
324483,Ultimate Flame Swordsman,Fusion Monster,01/18/2024,01/01/1990,https://images.ygoprodeck.com/images/cards_cropped/324483.jpg
327051,Magistus Vritra,Spell Card,12/03/2020,09/12/2020,https://images.ygoprodeck.com/images/cards_cropped/327051.jpg
336369,Gusto Squirro,Tuner Monster,02/03/2012,12/01/2010,https://images.ygoprodeck.com/images/cards_cropped/336369.jpg
340002,Performapal Elephammer,Effect Monster,05/14/2015,02/14/2015,https://images.ygoprodeck.com/images/cards_cropped/340002.jpg
359563,Evilswarm Nightmare,XYZ Monster,09/28/2012,10/04/2011,https://images.ygoprodeck.com/images/cards_cropped/359563.jpg
365213,Arrive in Light,Spell Card,08/12/2021,04/17/2021,https://images.ygoprodeck.com/images/cards_cropped/365213.jpg
368382,Dinomist Brachion,Pendulum Effect Monster,01/14/2016,10/17/2015,https://images.ygoprodeck.com/images/cards_cropped/368382.jpg
373085,Firebrand Hymnist,Effect Monster,03/19/2020,12/22/2018,https://images.ygoprodeck.com/images/cards_cropped/373085.jpg
387282,Gagaga Sister,Effect Monster,04/16/2015,02/15/2014,https://images.ygoprodeck.com/images/cards_cropped/387282.jpg
402568,Wattgiraffe,Effect Monster,05/07/2010,02/20/2010,https://images.ygoprodeck.com/images/cards_cropped/402568.jpg
403847,The A. Forces,Spell Card,06/06/2003,09/20/2001,https://images.ygoprodeck.com/images/cards_cropped/403847.jpg
410904,Awakening of the Possessed - Rasenryu,Effect Monster,09/10/2020,08/08/2020,https://images.ygoprodeck.com/images/cards_cropped/410904.jpg
423585,Summoner Monk,Effect Monster,03/31/2009,05/21/2005,https://images.ygoprodeck.com/images/cards_cropped/423585.jpg
423705,Gearfried the Iron Knight,Effect Monster,10/20/2002,12/14/2000,https://images.ygoprodeck.com/images/cards_cropped/423705.jpg
425934,Goblin of Greed,Effect Monster,12/01/2003,02/20/2003,https://images.ygoprodeck.com/images/cards_cropped/425934.jpg
440556,Bahamut Shark,XYZ Monster,11/09/2012,08/21/2012,https://images.ygoprodeck.com/images/cards_cropped/440556.jpg
458748,The Book of the Law,Spell Card,02/23/2017,11/12/2016,https://images.ygoprodeck.com/images/cards_cropped/458748.jpg
464362,Frightfur Tiger,Fusion Monster,07/01/2015,11/28/2014,https://images.ygoprodeck.com/images/cards_cropped/464362.jpg
473469,Driving Snow,Trap Card,10/20/2002,09/28/2000,https://images.ygoprodeck.com/images/cards_cropped/473469.jpg
487395,Water Spirit,Normal Tuner Monster,08/05/2008,03/15/2008,https://images.ygoprodeck.com/images/cards_cropped/487395.jpg
494922,Superheavy Samurai Warlord Susanowo,Synchro Monster,01/15/2015,11/15/2014,https://images.ygoprodeck.com/images/cards_cropped/494922.jpg
525110,Cherry Inmato,Tuner Monster,05/07/2010,02/20/2010,https://images.ygoprodeck.com/images/cards_cropped/525110.jpg
545781,Mahaama the Fairy Dragon,Tuner Monster,11/05/2020,09/25/2021,https://images.ygoprodeck.com/images/cards_cropped/545781.jpg
549481,Prevent Rat,Normal Monster,06/26/2002,01/27/2000,https://images.ygoprodeck.com/images/cards_cropped/549481.jpg
564541,Totem Dragon,Effect Monster,02/28/2009,09/19/2009,https://images.ygoprodeck.com/images/cards_cropped/564541.jpg
572850,Tearlaments Scheiren,Effect Monster,08/04/2022,04/23/2022,https://images.ygoprodeck.com/images/cards_cropped/572850.jpg
575512,PSY-Frame Circuit,Spell Card,10/01/2015,08/22/2015,https://images.ygoprodeck.com/images/cards_cropped/575512.jpg
581014,Daigusto Emeral,XYZ Monster,09/28/2012,10/04/2011,https://images.ygoprodeck.com/images/cards_cropped/581014.jpg
596051,Snake Fang,Trap Card,09/16/2002,04/20/2000,https://images.ygoprodeck.com/images/cards_cropped/596051.jpg
598988,Malefic Rainbow Dragon,Effect Monster,02/22/2011,02/26/2011,https://images.ygoprodeck.com/images/cards_cropped/598988.jpg
601193,"Virgil, Rock Star of the Burning Abyss",Synchro Monster,11/06/2014,09/19/2015,https://images.ygoprodeck.com/images/cards_cropped/601193.jpg
612115,Gladiator Beast Retiari,Effect Monster,11/01/2008,09/19/2009,https://images.ygoprodeck.com/images/cards_cropped/612115.jpg
637216,Monster Express,Effect Monster,10/24/2019,07/13/2019,https://images.ygoprodeck.com/images/cards_cropped/637216.jpg
645087,Cyberse Gadget,Effect Monster,08/09/2018,03/21/2017,https://images.ygoprodeck.com/images/cards_cropped/645087.jpg
645794,Majespecter Toad - Ogama,Pendulum Effect Monster,01/14/2016,10/17/2015,https://images.ygoprodeck.com/images/cards_cropped/645794.jpg
652362,Alien Ammonite,Tuner Monster,02/28/2009,11/15/2008,ht05/28/2005tps://images.ygoprodeck.com/images/cards_cropped/652362.jpg
653675,Synchro Overtop,Spell Card,07/27/2023,04/22/2023,https://images.ygoprodeck.com/images/cards_cropped/653675.jpg
674561,Dark Eruption,Spell Card,01/26/2008,11/23/2007,https://images.ygoprodeck.com/images/cards_cropped/674561.jpg
675319,Zodiac Sign,Spell Card,02/09/2017,10/08/2016,https://images.ygoprodeck.com/images/cards_cropped/675319.jpg
691925,Solar Recharge,Spell Card,05/03/2008,02/23/2008,https://images.ygoprodeck.com/images/cards_cropped/691925.jpg
698785,Thunder End Dragon,XYZ Monster,11/10/2011,07/16/2011,https://images.ygoprodeck.com/images/cards_cropped/698785.jpg
703897,Orcust Crescendo,Trap Card,05/02/2019,01/12/2019,https://images.ygoprodeck.com/images/cards_cropped/703897.jpg
